,episode no.,speaker,dialouge
215,1,Rick,  come morty got get hell portal open upin lunchroom school rick morty land tabl wherejessica friend eat
216,1,Jessica,  wow come cafeteria portal
217,1,Morty,  uh yeah well know ferrari ’s shop nervouslylaughs
218,1,Jessica,  morty right
219,1,Morty,  yeah rick grabs morty take way
220,1,Rick,  get number later come morty got get gotto get seed ass rick morty stop jerry beth princip vagina
221,1,Jerry,  oh look honey son albert ein douche
222,1,Beth, 
223,1,Jerry,  ’m angri father improvis
224,1,Rick,  oh hi jerry oh good morty class wetalk parent disappoint thisbehavior taker rick morty back home garagewhil jerry beth start take thing pack hecan move nurs home
225,1,Rick,  guy realli touch stuff beyond yourreason
226,1,Jerry,  beyond reason
227,1,Rick,  take one know one
228,1,Beth,  dad could make son miss entir semest school mean isnot like hot girl bail life set shop insomeon els ’s
229,1,Rick,  guy stuff
230,1,Beth,  move nurs home
231,1,Rick,  nurs home nut ’m geniu build robot forfun
232,1,Jerry,  well build basket watch paul newman movi vh mentallyscar boy scout everi christmas
233,1,Beth,  mean
234,1,Jerry,  person
235,1,Morty,  dad mom come rick need help
236,1,Jerry,  morty stay obvious capabl judg thesesitu
237,1,Rick,  tri say morty stupid someth
238,1,Beth,  oh high road us dad know fulli well morty last childthat need miss class
239,1,Rick,  know mean littl bit morespecif
240,1,Jerry,  oh cri — got kind disabl someth whatyou want us say
241,1,Morty, 
242,1,Jerry,  well duh doy son look love morty know fasta kid want compet world got worktwic hard
243,1,Morty,  aw geez dad know lot drop kid
244,1,Rick,  morty tell parent squar root pi
245,1,Morty,  oh come rick know
246,1,Rick,  squar root pi morty go
247,1,Morty,  1.77245385 whoa
248,1,Beth,  hell
249,1,Jerry,check morty ’s answer calcul holy crap right
250,1,Rick,  morty tell parent first law thermodynam
251,1,Morty,"  "" increment intern energi system equal increment ofheat suppli system "" wow ’m smart"
252,1,Jerry,  —
253,1,Rick,  told school stupid learn thing morty’sa gift child special mind littl helper islik go great scienc stuff later life toosmart school need keep hang help
254,1,Beth,  jerry want whatev ’s happen stop
255,1,Jerry,  understand uh mayb overreact keep go toschool
256,1,Rick,  okay jerry drive hard bargain suppos say no?you realli wear pant around want know us go clear commun summer butt cryingov death frank
257,1,Summer,cri frank palicky frozen death today
258,1,Rick,  idea talk summer leav cri
259,1,Jerry,  okay well uh morty bedtim hour stay nightagain good though work think famili beth ’ll would love
260,1,Beth,  know okay jerry leav
261,1,Morty,  holi cow rick know hang make smarter
262,1,Rick,  full disclosur morty temporari superintellig sideeffect mega seed dissolv rectal caviti
263,1,Morty,  aw man
264,1,Rick,  yeah seed wear go lose motorskil also go lose signific amount brain functionalityfor 72 hour morty start right
265,1,Morty,  ohh man lose conscious ) oh geez ohh ( drop ground andstart moan seizur
266,1,Rick,  ’m sorri morty bummer realiti dumb come ineed seed real bad give get parentsoff back go go get adventur excitedlylook upon tell futur adventur
267,2,TV,  coin collect consid perfect hobbi beauti putt right good birdie eighth birdi day
268,2,Jerry,  look want go outsid outsid sigh
269,2,Jerry,  outsid
270,2,Jerry,  kid come
271,2,Summer,  oh god
272,2,Morty,  wrong
273,2,Jerry,  idiot dog
274,2,Morty,  oh mean dad snuffles good boy
275,2,Jerry,  prais morty peed carpet bad dog bad
276,2,Rick,  morty come need help tonight
277,2,Jerry,  hey wait hold second rick would chanc sort crazi scienc thing could whip might help make dog littl smarter would
278,2,Rick,  thought whole point dog feel superior jerry would pull thread come morty
279,2,Jerry,  listen rick go stay rent free use son stupid scienc least could put littl bit use famili make dog smart morty ’s ground
280,2,Summer,  ha ha
281,2,Morty,  aw man
282,2,Rick,  boy realli got wall time jerry
283,2,Rick,  right ruffl name
284,2,Morty,  snuffles
285,2,Rick,  snuffles shake
286,2,Rick,  roll
287,2,Rick,  go bathroom
288,2,Jerry,  holi crap
289,2,Summer,  way
290,2,Rick,  yeah top game jerry fun come morty
291,2,Morty,  fantast rick
292,2,Rick,  yeah morty like boy realli go flip lid one
293,2,Morty,  w w w
294,2,Rick,  devic morty put ear enter peopl ’s dream morty like movi keep crow
295,2,Morty,"  talk "" incept """
296,2,Rick,  right morty go lot like except know go may belch make sens
297,2,Morty,"  "" incept "" made sens"
298,2,Rick,  tri impress morty listen tonight go go home math teacher mr goldenfold go incept idea brain give ’s math morty way know go help scienc morty time
299,2,Morty,  geez rick time took make thing could know help homework
300,2,Rick,  listen morty homework stupid whole point get less
301,2,Rick,  come let us get deal thing w go incept teacher frustrat
302,2,Mrs. Pancakes,  know
303,2,Mr. Goldenfold,’ nice mrs pancak real nice
304,2,Commercial Announcer,"  next week "" day night mrs pancak """
305,2,Mrs. Pancakes,  know
306,2,Mr. Pancakes,  let get know yo damn
307,2,Rick,  uh oh spoiler
308,2,Rick,  ’m full season behind
309,2,Morty,  wow rick believ sit around stand around mr goldenfold ’s hous realli weird
310,2,Rick,  get whole lot weirder morty
311,2,Mrs. Pancakes,  wheat thin wheat thin
312,2,Mr. Goldenfold,  ’ll take two
313,2,Mrs. Pancakes,  oh think ’ve enough sir
314,2,Mr.Goldenfold,  know
315,2,Rick,  right morty time make move
316,2,Mr. Goldenfold,  make bounc
317,2,Mrs. Pancakes, 
318,2,Mr. Goldenfold,  oh jiggl
319,2,Mrs. Pancakes,  better stop
320,2,Rick,  allahu belch akbar go take control plane go 9/11 unless morty smith get better grade math
321,2,Rick,  hey said nobodi move buddy
322,2,Mr. Goldenfold,  name ’s buddi goldenfold nice wheat
323,2,Rick,  take cover morty
324,2,Mr. Goldenfold,  aaaaaaaaaaaaaaaaaaaaaaahhhhhhhhhhhhhhhh
325,2,Morty,  ooohhh
326,2,Rick,  goldenfold ’s got control anticip mean guy teach high school math belch take activ dreamer ’ve got take wake morty get kill get kill someon els ’s dream die real morty
327,2,Morty,  kid ohhhhhh
328,2,Rick,  babi avoid get shot real life time morty thing ’ll fine
329,2,Jerry,  bring slipper
330,2,Summer,  footstool snuffles
331,2,Jerry,  ’m talk dog
332,2,Beth ,unimpress oh yeah play fine
333,2,Jerry,  said thing equal sarcast wed guess
334,2,Snuffles,  ooowwwwowowwaawaa
335,2,Summer,  oh god tri tell us someth offscreen awesom
336,2,Snuffles,  aaaawwaaaaawaawa
337,2,Jerry,"  aw say "" love lasagna """
338,2,Snuffles,  ooooyayawawa
339,2,Summer,"  say "" love obama "" offscreen cute ’m post onscreen onlin like right"
340,2,Jerry,  call bob saget still thing
341,2,Snuffles,  hmm
342,2,Rick,  goldenfold come want talk
343,2,Mr.Goldenfold,  would negoti
344,2,Rick,  ration adult want anyth bad happen human shield
345,2,Mr. Goldenfold,  mrs pancakes aaaaaaaahhhh
346,2,Plane Passengers,  aaaaaaaaaaaaaaaaaaahhhhhhhhhhhhhh
347,2,Rick,  oh morty subconsci panick
348,2,Plane Passenger,  oh run
349,2,Plane Passengers,  aaaaaaaaaaaaaaaaaahhhhhhhhhhhhhh
350,2,Rick,  whoa whoa whoa whoooooaaaa whoa whoa whoooooaaaa
351,2,Morty,  whooooa whoooooooa whoa whooooooooaaaaa
352,2,Morty,  aaaaaaaaaaaaaaaaaaaaaaaahhhhhhhhhh
353,2,Rick,  relax morty look mrs pancakes parachut come
354,2,Mrs. Pancakes,  hey know
355,2,Morty,  oh rick look goldenfold land plane creat offscreen mechan arm pluck mrs pancak air let us fall giant vat lava
356,2,Rick,  pretti concis morty look like ’ve mere prolong inevit morty prolong inevit listen go mrs pancakes ’ dream everyth go 100 time slower morty ’ll buy us time figur
357,2,Mrs. Pancakes,  know m-
358,2,Rick,  right let us go
359,2,Morty,  oh man rick pretti weird
360,2,Rick,  judg morty
361,2,Morty,  okay right well look mrs pancakes right ’ll go ask tell goldenfold kill us wake
362,2,Rick,  whoa whoa morty trick incept make peopl think came idea listen go incept mrs pancakes blend ’ll talk lunch
363,2,Sexualized S&M Monster,  ooh hey
364,2,Morty,  ooh oh oh man
365,2,Sexualized S&M Monster,  come join us
366,2,Morty,  ’m sorri
367,2,Sexualized S&M Monster,  ooh come
368,2,Morty,  thank
369,2,Giant Frog Woman,  ooh wow come babi
370,2,Morty,  ’m okay
371,2,Morty,  whoa
372,2,Morty,shock summer
373,2,Summer,  hey stranger think thing
374,2,Morty,  ohh oh gross gross
375,2,Rick,  whoa whoa whoa matter morty calm kind kill vibe
376,2,Morty,  summer aw geez
377,2,Rick,look like goldenfold predilect shame buri dream peopl dream includ pervi attract underag sister
378,2,Summer,  blame come old man littl boy let us make inter gener sandwich
379,2,Rick,unison morty oh god put cloth love god summer put ’m gunna puke swear god ’m gunna puke
380,2,Morty,unison rickoh god put cloth pete ’s sake disgust take rick
381,2,Centaur,  sexual hang up pleasur chamber punish death head
382,2,Rick,  time go anoth dream deep morty
383,2,Morty,  hell would mr goldenfold ’s dream version mrs pancakes ’ dream version centaur dream scari place like rick
384,2,Rick,  geez know morty wha want
385,2,Scary Terry,  welcom nightmar bitch raaaaawwwrrr
386,2,Rick,  oh go
387,2,Morty,  ooooooohhhhh holy crap
388,2,Rick,  look like sort legal safe knock ’ 80 horror charact miniatur sword finger instead knive
389,2,Scary Terry,  ’m scari terri run hide bitch
390,2,Jerry,  whoa hey buddy got go
391,2,Snuffles,  snuffles fix make better
392,2,Summer,  human understand snuffles awesom
393,2,Snuffles,  snuffles want understood snuffles need understood
394,2,Jerry,  okay yeah get beth talk fun ’s
395,2,Summer,  whoa dad like endow creatur sentienc rip away
396,2,Jerry, 
397,2,Summer,  know indian give
398,2,TV,  sophist predat natur ’s perfect kill machin viciou wolf stalk prey purpos skill year select breed genet alter nobl beast transform man ’s subservi littl buddi
399,2,Summer,  aw oh god recogn dog tv
400,2,Little Girl,"  "" "" "" b "" name scari terri "" c "" "" "" scari"
401,2,Rick,  holi crap escap someon els ’s dream morty
402,2,Morty,  oh man oh man oh man
403,2,Little Girl,"  "" e "" "" f "" ’ll design death"
404,2,Rick,  littl girl
405,2,Morty,  huh
406,2,Little Girl,"  "" j "" "" k "" ’ll realli ruin day"
407,2,Rick,  kid oh man look like ’ve hit dream bedrock morty
408,2,Morty,  oh geez rick w w whoa good
409,2,Scary Terry,  noth fear bitch
410,2,Morty,  ohhhh
411,2,Rick,  holi crap morty travel dream travel dream screw
412,2,Snuffles,  testicl summer testicl summer remov gone
413,2,Summer,scaredoh wow intens line question snuffles
414,2,Snuffles,  call
415,2,Snuffles,"  "" snuffles "" slave name shall call snowball fur pretti white"
416,2,Summer,  okay snowball calm okay scare
417,2,Snuffles,  scare
418,2,Summer,  aaaaaaahhh
419,2,Snuffles,  tell summer human born stumpi leg would breed anoth deform human put children display like dachshund
420,2,Summer,  uhhh
421,2,Jerry,  hey oh wow okay everyth okay
422,2,Snuffles,  jerry come rub face urin
423,2,Jerry,  uh see summer want uh
424,2,Beth,  g go um one famou midnight famili walk
